Study,Metadata_Assay,Metadata_Biospecimen,Metadata_Individual
Jax.IU.Pitt_5XFAD,syn63090748,syn63587028,syn63084319
Jax.IU.Pitt_APOE4.Trem2.R47H,syn35890415,syn63943507,syn63943497
UCI_3xTg-AD,syn23532197,syn23532198,syn23532199
UCI_5XFAD,syn18876537,syn18876530,syn18880070
UCI_ABCA7,syn53127285,syn30859390,syn30859394
UCI_hAbeta_KI,syn18816975,syn18818785,syn18880212
UCI_PrimaryScreen,syn25754750,syn25872019,syn25872020
UCI_Trem2_Cuprizone,syn50996285,syn50876847,syn50876848
UCI_Trem2-R47H_NSS,syn27134892,syn29568452,syn27147690
UCI_Bin1K358R,syn51747930,syn51747924,syn51747927
Jax.IU.Pitt_LOAD2,syn51708695,syn34228034,syn34228037
